t,frame,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z
1.394514,83,-6.851,-152.006,-50.211,-0.085077,-0.041098,0.235022
1.411315,84,-2.058,-139.851,-51.31,0.009231,-0.035881,-0.068737
1.428116,85,-0.573,-131.774,-70.705,0.020421,-0.05311,-0.2354
1.444917,86,-3.361,-137.129,-70.667,-0.016262,-0.065674,-0.168733
1.461719,87,-2.774,-138.419,-70.686,0.001643,-0.058297,-0.18793
1.478519,88,-2.888,-141.161,-69.191,0.021315,-0.056631,-0.180818
1.495321,89,-6.931,-145.803,-66.073,-0.048384,-0.080202,-0.134764
1.512121,90,-3.862,-146.419,-67.573,0.026709,-0.056752,-0.170333
1.528923,91,-5.772,-154.269,-63.156,0.004379,-0.076956,-0.058896
1.545724,92,-8.613,-173.95,-62.479,-0.013985,-0.061674,0.300555
1.562525,93,-7.173,-178.513,-65.788,0.014622,-0.06003,0.359007
1.579326,94,-6.568,-154.297,-72.812,-0.009269,-0.053384,-0.14393
1.596127,95,-3.323,-180.88,-56.793,0.102335,-0.048588,0.288604
1.612928,96,-11.414,-179.308,-59.964,-0.066975,-0.044316,0.246348
1.629729,97,-3.579,-158.634,-80.863,0.05348,-0.042987,-0.152437
1.64653,98,-2.794,-160.558,-80.609,0.06943,-0.040646,-0.158275
1.663331,99,-4.798,-165.656,-75.645,0.037323,-0.048439,-0.110294
1.680132,100,-2.491,-178.642,-62.201,0.110963,-0.030541,0.059177
1.696933,101,-1.66,-179.813,-64.215,0.124572,-0.02693,0.045061
1.713735,102,-7.582,-174.147,-74.311,-0.01694,-0.050167,-0.065762
1.730536,103,-5.023,-169.261,-86.667,0.01439,-0.026611,-0.160165
1.747337,104,-5.734,-169.619,-86.633,-0.002593,-0.027882,-0.20827
1.764138,105,-7.466,-180.274,-76.827,-0.016126,-0.053014,-0.083834
1.780939,106,-6.369,-182.832,-78.904,0.003067,-0.048605,-0.073042
1.79774,107,-8.591,-182.281,-78.35,-0.043396,-0.052886,-0.136623
1.814541,108,-10.241,-207.78,-63.463,-0.036928,-0.036089,0.259655
1.831342,109,-5.969,-188.426,-78.952,0.007716,-0.044945,-0.125113
1.848143,110,-5.541,-193.139,-78.636,0.018963,-0.046247,-0.084818
1.864944,111,-6.796,-195.881,-77.358,-0.007083,-0.042231,-0.088366
1.881745,112,-4.313,-198.099,-80.407,0.036474,-0.029634,-0.082483
1.898546,113,-5.142,-196.641,-86.003,0.012747,-0.031928,-0.141556
1.915347,114,-3.543,-207.909,-73.85,0.063849,-0.019919,-0.018811
1.932148,115,-6.756,-238.33,-88.887,0.010438,-0.020975,0.618504
1.94895,116,-5.091,-238.622,-65.481,0.051676,-0.041768,0.445132
1.965751,117,-6.583,-211.088,-78.661,-0.024849,-0.043234,-0.075232
1.982553,118,-3.891,-209.424,-84.009,0.017277,-0.026391,-0.127293
1.999354,119,-4.543,-212.003,-84.035,0.004657,-0.026145,-0.114788
2.016155,120,-2.675,-214.571,-80.402,0.044332,-0.026672,-0.130002
2.032957,121,-5.255,-224.869,-67.253,0.009851,-0.017616,-0.019197
2.049758,122,-4.988,-257.164,-68.086,0.033339,-0.044893,0.580652
